Gene Name,MeanLN_INS,P-valueLN_INSvsCON,FC,logP
HOMER3,0.85993844,0.83,-0.21769470889300266,0.08092190762392612
HOOK3,1.033566809,0.17,0.0476316465261002,0.769551078621726
HP1BP3,0.766135128,0.02,-0.3843292232301621,1.6989700043360187
HRC,1.332111826,0.92,0.41371519655623357,0.036212172654444715
HSD17B10,0.871766428,0.35,-0.19798644876657842,0.4559319556497244
HSD17B4,0.741045375,0.16,-0.432366211892992,0.7958800173440752
HSDL2,0.908395905,0.55,-0.13860689241973959,0.2596373105057561
HSP90AA1,0.889526802,0.23,-0.16889001943433374,0.638272163982407
HSP90AB1,0.874379949,0.29,-0.19366777691727494,0.5376020021010439
HSP90AB2P,1.122910875,0.34,0.16724342613738838,0.46852108295774486
HSP90B1,0.930744563,0.78,-0.10354281137527765,0.10790539730951958
HSPA12A,0.918969536,0.15,-0.12191105817196118,0.8239087409443188
"HSPA1A,HSPA1B",1.021288002,0.99,0.03038976187344083,0.004364805402450088
HSPA4,0.714218838,0.3,-0.4855619084140071,0.5228787452803376
HSPA5,0.910371739,0.24,-0.13547232265301032,0.619788758288394
HSPA8,0.861815572,0.13,-0.2145489283905502,0.8860566476931632
HSPB1,0.815751362,0.02,-0.293798603806502,1.6989700043360187
HSPD1,0.975096121,0.88,-0.03638365402011206,0.05551732784983137
"HSPE1-MOB4,MOB4",0.858198201,0.02,-0.22061721805077117,1.6989700043360187
HTRA1,0.998450731,0.45,-0.002236855896813955,0.3467874862246563
IARS,0.726440059,0.27,-0.46108433371346325,0.5686362358410126
IDH1,1.048752066,0.54,0.06867365271994355,0.26760624017703144
IDH2,0.95107498,0.2,-0.07236901141454168,0.6989700043360187
IDH3B,0.918188107,0.4,-0.123138349488403,0.3979400086720376
IFI16,0.690462242,0.03,-0.5343655721763247,1.5228787452803376
IGBP1,0.949175772,0.56,-0.07525281911482255,0.25181197299379954
IGF2BP2,0.852532131,0.1,-0.23017388613376757,1.0
IGF2BP3,0.792308472,0.03,-0.3358658661219605,1.5228787452803376
IKBKAP,0.896130559,0.18,-0.15821915825164626,0.744727494896694
ILF2,0.974644703,0.6,-0.03705170026870919,0.2218487496163564
IMPDH2,0.840298585,0.88,-0.25102604014234053,0.05551732784983137
INPPL1,0.774624401,0.04,-0.3684311472943676,1.3979400086720375
IPO4,0.718347608,0.29,-0.47724596256289614,0.5376020021010439
IPO5,0.79378739,0.64,-0.33317545082747707,0.1938200260161128
IPO7,0.755477564,0.2,-0.40453918368860925,0.6989700043360187
IQGAP1,0.814115938,0.84,-0.29669383200869454,0.07572071393811836
IRF2BP1,1.07276916,0.74,0.10133966831084684,0.13076828026902382
IRF2BP2,0.763598633,0.09,-0.38911357486668285,1.0457574905606752
IRF2BPL,1.025638496,0.72,0.036522317757677114,0.14266750356873156
ITGA3,0.79651553,0.83,-0.3282256040274701,0.08092190762392612
ITGA6,0.968992991,0.13,-0.04544186462999089,0.8860566476931632
ITGA7,0.965678537,0.36,-0.050385082078549866,0.44369749923271273
ITGAV,1.152559589,0.28,0.20484134200593532,0.5528419686577808
ITGB1,0.901686297,0.16,-0.14930249785989433,0.7958800173440752
ITGB5,0.667798025,0.25,-0.5825162682232597,0.6020599913279624
JSRP1,0.568053829,0.21,-0.8159004483409448,0.6777807052660807
KANK1,1.6298974,0.98,0.7047811514686532,0.00877392430750515
KANK2,1.130498983,0.77,0.17695969423759195,0.11350927482751812
KCTD12,0.779356295,0.02,-0.35964506504153876,1.6989700043360187
KHDRBS1,0.991775384,0.49,-0.011914676978857392,0.3098039199714863
KHSRP,0.806023994,0.14,-0.3111053088517684,0.8538719643217619
KIAA0020,0.976978941,0.25,-0.03360062997344182,0.6020599913279624
KIAA0196,1.054762083,0.76,0.07691761468154039,0.11918640771920865
KIAA1033,0.710711371,0.4,-0.49266431305805686,0.3979400086720376
KIF13B,1.07297031,0.91,0.10161015604934664,0.040958607678906384
"KIF1B,KIF1BBETA",0.695111114,0.02,-0.5246844828011917,1.6989700043360187
KIF5B,0.797950085,0.04,-0.3256295920177407,1.3979400086720375
KLC1,0.759840692,0.01,-0.39623111969066416,2.0
KLC2,0.786899405,0.02,-0.3457488774311116,1.6989700043360187
KLHL31,1.141742065,0.97,0.19123676315622354,0.01322826573375516
KLHL40,1.02916164,0.46,0.04146958953264612,0.3372421683184259
KLHL41,0.910415392,0.09,-0.13540314601444592,1.0457574905606752
KPNA2,0.754505811,0.07,-0.40639608284501433,1.154901959985743
KPNB1,1.006940549,0.51,0.009978507381640245,0.2924298239020636
LAMC1,1.37963995,0.7,0.46429181039183504,0.1549019599857432
LAPTM4A,0.949010462,0.77,-0.0755041031179835,0.11350927482751812
